Time	CellId	RNTI	BWPId	SINR(dB)
4.19307	1	3	0	12.7088
4.19307	1	4	0	-2.30142
4.19307	1	5	0	3.08193
4.19307	1	6	0	3.94164
4.19407	1	1	0	8.39019
4.19407	1	2	0	12.1452
4.19407	1	3	0	12.7088
4.19407	1	4	0	-2.30142
4.19407	1	5	0	3.08193
4.19407	1	6	0	3.94164
4.19507	1	1	0	8.39019
4.19507	1	2	0	12.1452
4.19507	1	3	0	12.7088
4.19507	1	4	0	-2.30142
4.19507	1	5	0	3.08193
4.19507	1	6	0	3.94164
4.19607	1	1	0	8.39019
4.19607	1	2	0	12.1452
4.19607	1	3	0	12.7088
4.19607	1	4	0	-2.30142
4.19607	1	5	0	3.08193
4.19607	1	6	0	3.94164
4.19707	1	1	0	8.39019
4.19707	1	2	0	12.1452
4.19707	1	3	0	12.7088
4.19707	1	4	0	-2.30142
4.19707	1	5	0	3.08193
4.19707	1	6	0	3.94164
4.19807	1	1	0	8.39019
4.19807	1	2	0	12.1452
4.19807	1	3	0	12.7088
4.19807	1	4	0	-2.30142
4.19807	1	5	0	3.08193
4.19807	1	6	0	3.94164
4.19907	1	1	0	8.39019
4.19907	1	2	0	12.1452
4.19907	1	3	0	12.7088
4.19907	1	4	0	-2.30142
4.19907	1	5	0	3.08193
4.19907	1	6	0	3.94164
4.20007	1	1	0	8.39019
4.20007	1	2	0	12.1452
4.20007	1	3	0	12.7088
4.20007	1	4	0	-2.30142
4.20007	1	5	0	3.08193
4.20007	1	6	0	3.94164
4.20107	1	1	0	8.39019
4.20107	1	2	0	12.1452
4.20107	1	3	0	12.7088
4.20107	1	4	0	-2.30142
4.20107	1	5	0	3.08193
4.20107	1	6	0	3.94164
4.20207	1	1	0	8.39019
4.20207	1	2	0	12.1452
4.20207	1	3	0	12.7088
4.20207	1	4	0	-2.30142
4.20207	1	5	0	3.08193
4.20207	1	6	0	3.94164
4.20307	1	1	0	8.39019
4.20307	1	2	0	12.1452
4.20307	1	3	0	12.7088
4.20307	1	4	0	-2.30142
4.20307	1	5	0	3.08193
4.20307	1	6	0	3.94164
4.20407	1	1	0	8.39019
4.20407	1	2	0	12.1452
4.20407	1	3	0	12.7088
4.20407	1	4	0	-2.30142
4.20407	1	5	0	3.08193
4.20407	1	6	0	3.94164
4.20507	1	1	0	8.39019
4.20507	1	2	0	12.1452
4.20507	1	3	0	12.7088
4.20507	1	4	0	-2.30142
4.20507	1	5	0	3.08193
4.20507	1	6	0	3.94164
4.20607	1	1	0	8.39019
4.20607	1	2	0	12.1452
4.20607	1	3	0	12.7088
4.20607	1	4	0	-2.30142
4.20607	1	5	0	3.08193
4.20607	1	6	0	3.94164
