Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
6.08407	DL DCI Rxed	608	4	0	1	2	0	14	2
6.08407	DL DCI Rxed	608	4	0	1	3	0	15	2
6.08407	DL DCI Rxed	608	4	0	1	4	0	15	2
6.08493	HARQ FD Txed	608	4	0	1	2	0	15	2
6.08493	HARQ FD Txed	608	4	0	1	1	0	15	2
6.08493	HARQ FD Txed	608	4	0	1	4	0	12	2
6.08493	HARQ FD Txed	608	4	0	1	3	0	12	2
6.08507	DL DCI Rxed	608	5	0	1	3	0	14	2
6.08507	DL DCI Rxed	608	5	0	1	4	0	14	2
6.08593	HARQ FD Txed	608	5	0	1	4	0	11	2
6.08593	HARQ FD Txed	608	5	0	1	3	0	11	2
6.08607	DL DCI Rxed	608	6	0	1	1	0	13	2
6.08607	DL DCI Rxed	608	6	0	1	2	0	13	2
6.08607	DL DCI Rxed	608	6	0	1	3	0	13	2
6.08607	DL DCI Rxed	608	6	0	1	4	0	13	2
6.08693	HARQ FD Txed	608	6	0	1	2	0	14	2
6.08693	HARQ FD Txed	608	6	0	1	1	0	14	2
6.08693	HARQ FD Txed	608	6	0	1	4	0	15	2
6.08693	HARQ FD Txed	608	6	0	1	3	0	15	2
6.08707	DL DCI Rxed	608	7	0	1	3	0	12	2
6.08707	DL DCI Rxed	608	7	0	1	4	0	12	2
6.08793	HARQ FD Txed	608	7	0	1	4	0	14	2
6.08793	HARQ FD Txed	608	7	0	1	3	0	14	2
6.08807	DL DCI Rxed	608	8	0	1	1	0	15	2
6.08807	DL DCI Rxed	608	8	0	1	2	0	15	2
6.08807	DL DCI Rxed	608	8	0	1	3	0	11	2
6.08807	DL DCI Rxed	608	8	0	1	4	0	11	2
6.08893	HARQ FD Txed	608	8	0	1	2	0	13	2
6.08893	HARQ FD Txed	608	8	0	1	1	0	13	2
6.08893	HARQ FD Txed	608	8	0	1	4	0	13	2
6.08893	HARQ FD Txed	608	8	0	1	3	0	13	2
6.08907	DL DCI Rxed	608	9	0	1	3	0	15	2
6.08907	DL DCI Rxed	608	9	0	1	4	0	15	2
6.08993	HARQ FD Txed	608	9	0	1	4	0	12	2
6.08993	HARQ FD Txed	608	9	0	1	3	0	12	2
6.09007	DL DCI Rxed	609	0	0	1	1	0	14	2
