time(s)	cellId	rnti	lcid	packetSize
0.68	1	2	3	1432
0.68	1	1	3	1432
0.681	1	4	3	132
0.681	1	3	3	132
0.682	1	4	3	132
0.682	1	3	3	132
0.682	1	2	3	1432
0.682	1	1	3	1432
0.683	1	4	3	132
0.683	1	3	3	132
0.684	1	4	3	132
0.684	1	3	3	132
0.684	1	2	3	1432
0.684	1	1	3	1432
0.685	1	4	3	132
0.685	1	3	3	132
0.686	1	4	3	132
0.686	1	3	3	132
0.686	1	2	3	1432
0.686	1	1	3	1432
0.687	1	4	3	132
0.687	1	3	3	132
0.688	1	4	3	132
0.688	1	3	3	132
0.688	1	2	3	1432
0.688	1	1	3	1432
0.689	1	4	3	132
0.689	1	3	3	132
0.69	1	4	3	132
0.69	1	3	3	132
0.69	1	2	3	1432
0.69	1	1	3	1432
0.691	1	4	3	132
0.691	1	3	3	132
0.692	1	4	3	132
0.692	1	3	3	132
0.692	1	2	3	1432
0.692	1	1	3	1432
0.693	1	4	3	132
0.693	1	3	3	132
0.694	1	4	3	132
0.694	1	3	3	132
0.694	1	2	3	1432
0.694	1	1	3	1432
0.695	1	4	3	132
0.695	1	3	3	132
0.696	1	4	3	132
0.696	1	3	3	132
0.696	1	2	3	1432
0.696	1	1	3	1432
0.697	1	4	3	132
0.697	1	3	3	132
0.698	1	4	3	132
0.698	1	3	3	132
0.698	1	2	3	1432
0.698	1	1	3	1432
0.699	1	4	3	132
0.699	1	3	3	132
0.7	1	4	3	132
0.7	1	3	3	132
0.7	1	2	3	1432
0.7	1	1	3	1432
0.701	1	4	3	132
0.701	1	3	3	132
0.702	1	6	3	82
0.702	1	5	3	82
0.702	1	4	3	132
0.702	1	3	3	132
0.702	1	2	3	1432
0.702	1	1	3	1432
0.703	1	4	3	132
0.703	1	3	3	132
0.704	1	4	3	132
0.704	1	3	3	132
0.704	1	2	3	1432
0.704	1	1	3	1432
0.705	1	4	3	132
0.705	1	3	3	132
0.706	1	4	3	132
0.706	1	3	3	132
0.706	1	2	3	1432
0.706	1	1	3	1432
0.707	1	4	3	132
0.707	1	3	3	132
0.708	1	4	3	132
0.708	1	3	3	132
0.708	1	2	3	1432
0.708	1	1	3	1432
0.709	1	4	3	132
0.709	1	3	3	132
0.71	1	4	3	132
0.71	1	3	3	132
0.71	1	2	3	1432
0.71	1	1	3	1432
0.711	1	4	3	132
0.711	1	3	3	132
0.712	1	4	3	132
0.712	1	3	3	132
0.712	1	2	3	1432
0.712	1	1	3	1432
0.713	1	4	3	132
0.713	1	3	3	132
0.714	1	4	3	132
0.714	1	3	3	132
0.714	1	2	3	1432
0.714	1	1	3	1432
0.715	1	4	3	132
0.715	1	3	3	132
0.716	1	4	3	132
0.716	1	3	3	132
0.716	1	2	3	1432
0.716	1	1	3	1432
0.717	1	4	3	132
0.717	1	3	3	132
0.718	1	4	3	132
0.718	1	3	3	132
0.718	1	2	3	1432
0.718	1	1	3	1432
0.719	1	4	3	132
0.719	1	3	3	132
0.72	1	4	3	132
0.72	1	3	3	132
0.72	1	2	3	1432
0.72	1	1	3	1432
0.721	1	4	3	132
0.721	1	3	3	132
0.722	1	4	3	132
0.722	1	3	3	132
0.722	1	2	3	1432
0.722	1	1	3	1432
0.723	1	4	3	132
0.723	1	3	3	132
0.724	1	4	3	132
0.724	1	3	3	132
0.724	1	2	3	1432
0.724	1	1	3	1432
0.725	1	4	3	132
0.725	1	3	3	132
0.726	1	4	3	132
0.726	1	3	3	132
0.726	1	2	3	1432
0.726	1	1	3	1432
0.727	1	4	3	132
0.727	1	3	3	132
0.728	1	4	3	132
0.728	1	3	3	132
0.728	1	2	3	1432
0.728	1	1	3	1432
0.729	1	4	3	132
0.729	1	3	3	132
0.73	1	4	3	132
0.73	1	3	3	132
0.73	1	2	3	1432
0.73	1	1	3	1432
0.731	1	4	3	132
0.731	1	3	3	132
0.732	1	4	3	132
0.732	1	3	3	132
0.732	1	2	3	1432
0.732	1	1	3	1432
0.733	1	4	3	132
0.733	1	3	3	132
