% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0522143	1	4	4	1.47555e-10	311073	0
0.0522143	1	5	5	9.49952e-11	200268	0
0.0522143	1	6	3	6.51779e-11	137407	0
0.0532143	1	1	1	5.19639e-10	1.09549e+06	0
0.0532143	1	2	6	4.03831e-10	851351	0
0.0532143	1	3	2	2.44247e-10	514918	0
0.0532143	1	4	4	1.47532e-10	311024	0
0.0532143	1	5	5	9.49823e-11	200240	0
0.0532143	1	6	3	6.51704e-11	137391	0
0.0542143	1	1	1	5.19637e-10	1.09549e+06	0
0.0542143	1	2	6	4.03772e-10	851227	0
0.0542143	1	3	2	2.44204e-10	514828	0
0.0542143	1	4	4	1.47508e-10	310975	0
0.0542143	1	5	5	9.49695e-11	200213	0
0.0542143	1	6	3	6.51628e-11	137375	0
0.0552143	1	1	1	5.19635e-10	1.09549e+06	0
0.0552143	1	2	6	4.03713e-10	851103	0
0.0552143	1	3	2	2.44162e-10	514738	0
0.0552143	1	4	4	1.47485e-10	310925	0
0.0552143	1	5	5	9.49566e-11	200186	0
0.0552143	1	6	3	6.51552e-11	137359	0
0.0562143	1	1	1	5.19633e-10	1.09548e+06	0
0.0562143	1	2	6	4.03655e-10	850978	0
0.0562143	1	3	2	2.44119e-10	514648	0
0.0562143	1	4	4	1.47462e-10	310876	0
0.0562143	1	5	5	9.49437e-11	200159	0
0.0562143	1	6	3	6.51476e-11	137343	0
0.0572143	1	1	1	5.19632e-10	1.09548e+06	0
0.0572143	1	2	6	4.03596e-10	850854	0
0.0572143	1	3	2	2.44076e-10	514558	0
0.0572143	1	4	4	1.47438e-10	310827	0
0.0572143	1	5	5	9.49308e-11	200132	0
0.0572143	1	6	3	6.51401e-11	137327	0
0.0582143	1	1	1	5.1963e-10	1.09548e+06	0
0.0582143	1	2	6	4.03537e-10	850730	0
0.0582143	1	3	2	2.44033e-10	514468	0
0.0582143	1	4	4	1.47415e-10	310778	0
0.0582143	1	5	5	9.4918e-11	200105	0
0.0582143	1	6	3	6.51325e-11	137311	0
0.0592143	1	1	1	5.19628e-10	1.09547e+06	0
0.0592143	1	2	6	4.03478e-10	850605	0
0.0592143	1	3	2	2.43991e-10	514378	0
0.0592143	1	4	4	1.47392e-10	310729	0
0.0592143	1	5	5	9.49051e-11	200078	0
0.0592143	1	6	3	6.51249e-11	137295	0
0.0602143	1	1	1	5.19626e-10	1.09547e+06	0
0.0602143	1	2	6	4.03419e-10	850481	0
0.0602143	1	3	2	2.43948e-10	514288	0
0.0602143	1	4	4	1.47368e-10	310680	0
0.0602143	1	5	5	9.48922e-11	200050	0
0.0602143	1	6	3	6.51174e-11	137279	0
0.0612143	1	1	1	5.19624e-10	1.09546e+06	0
0.0612143	1	2	6	4.0336e-10	850357	0
0.0612143	1	3	2	2.43905e-10	514197	0
0.0612143	1	4	4	1.47345e-10	310631	0
0.0612143	1	5	5	9.48794e-11	200023	0
0.0612143	1	6	3	6.51098e-11	137264	0
0.0622143	1	1	1	5.19622e-10	1.09546e+06	0
0.0622143	1	2	6	4.03301e-10	850232	0
0.0622143	1	3	2	2.43863e-10	514107	0
0.0622143	1	4	4	1.47322e-10	310581	0
0.0622143	1	5	5	9.48665e-11	199996	0
0.0622143	1	6	3	6.51023e-11	137248	0
0.0632143	1	1	1	5.1962e-10	1.09546e+06	0
0.0632143	1	2	6	4.03242e-10	850108	0
0.0632143	1	3	2	2.4382e-10	514017	0
0.0632143	1	4	4	1.47298e-10	310532	0
0.0632143	1	5	5	9.48537e-11	199969	0
0.0632143	1	6	3	6.50947e-11	137232	0
0.0642143	1	1	1	5.19618e-10	1.09545e+06	0
0.0642143	1	2	6	4.03183e-10	849984	0
