% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
1362	1	3	2	0	0	28	2196	0	1	1	0
1364	1	4	4	0	0	28	2196	0	1	1	0
1365	1	1	1	0	0	28	2196	0	1	1	0
1366	1	3	2	0	0	28	2196	0	1	1	0
1367	1	4	4	0	0	28	2196	0	1	1	0
1368	1	3	2	0	0	28	2196	0	1	1	0
1369	1	2	6	0	0	28	2196	0	1	1	0
1370	1	3	2	0	0	28	2196	0	1	1	0
1371	1	4	4	0	0	28	2196	0	1	1	0
1372	1	3	2	0	0	28	2196	0	1	1	0
1373	1	3	2	0	0	28	2196	0	1	1	0
1374	1	4	4	0	0	28	2196	0	1	1	0
1375	1	1	1	0	0	28	2196	0	1	1	0
1376	1	3	2	0	0	28	2196	0	1	1	0
1378	1	4	4	0	0	28	2196	0	1	1	0
1379	1	4	4	0	0	28	2196	0	1	1	0
1380	1	4	4	0	0	28	2196	0	1	1	0
1381	1	3	2	0	0	28	2196	0	1	1	0
1382	1	4	4	0	0	28	2196	0	1	1	0
1383	1	4	4	0	0	28	2196	0	1	1	0
1384	1	4	4	0	0	28	2196	0	1	1	0
1385	1	2	6	0	0	28	2196	0	1	1	0
1386	1	1	1	0	0	28	2196	0	1	1	0
1387	1	3	2	0	0	28	2196	0	1	1	0
1388	1	3	2	0	0	28	2196	0	1	1	0
1389	1	3	2	0	0	28	2196	0	1	1	0
1390	1	4	4	0	0	28	2196	0	1	1	0
1391	1	3	2	0	0	28	2196	0	1	1	0
1392	1	2	6	0	0	28	2196	0	1	1	0
1393	1	4	4	0	0	28	2196	0	1	1	0
1394	1	3	2	0	0	28	2196	0	1	1	0
1395	1	1	1	0	0	28	2196	0	1	1	0
1396	1	4	4	0	0	28	2196	0	1	1	0
1397	1	3	2	0	0	28	2196	0	1	1	0
1398	1	4	4	0	0	28	2196	0	1	1	0
1399	1	2	6	0	0	28	2196	0	1	1	0
1400	1	3	2	0	0	28	2196	0	1	1	0
1401	1	4	4	0	0	28	2196	0	1	1	0
1402	1	3	2	0	0	28	2196	0	1	1	0
1403	1	4	4	0	0	28	2196	0	1	1	0
1404	1	3	2	0	0	28	2196	0	1	1	0
1405	1	1	1	0	0	28	2196	0	1	1	0
1406	1	4	4	0	0	28	2196	0	1	1	0
1407	1	3	2	0	0	28	2196	0	1	1	0
1408	1	2	6	0	0	28	2196	0	1	1	0
1409	1	4	4	0	0	28	2196	0	1	1	0
1410	1	3	2	0	0	28	2196	0	1	1	0
1412	1	4	4	0	0	28	2196	0	1	1	0
1414	1	3	2	0	0	28	2196	0	1	1	0
1415	1	1	1	0	0	28	2196	0	1	1	0
1416	1	4	4	0	0	28	2196	0	1	1	0
1417	1	3	2	0	0	28	2196	0	1	1	0
1418	1	3	2	0	0	28	2196	0	1	1	0
1420	1	2	6	0	0	28	2196	0	1	1	0
1421	1	3	2	0	0	28	2196	0	1	1	0
1422	1	3	2	0	0	28	2196	0	1	1	0
1423	1	3	2	0	0	28	2196	0	1	1	0
1424	1	4	4	0	0	28	2196	0	1	1	0
1425	1	1	1	0	0	28	2196	0	1	1	0
1426	1	4	4	0	0	28	2196	0	1	1	0
1427	1	4	4	0	0	28	2196	0	1	1	0
1428	1	2	6	0	0	28	2196	0	1	1	0
