time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.713029	1	4	3	130	0.00402465
0.714029	1	3	3	130	0.00402828
0.714029	1	4	3	130	0.00402815
0.715029	1	1	3	1430	0.0040261
0.715029	1	2	3	1430	0.00402492
0.715029	1	3	3	130	0.00402479
0.715029	1	4	3	130	0.00402465
0.716029	1	3	3	130	0.00402828
0.716029	1	4	3	130	0.00402815
0.717029	1	1	3	1430	0.0040261
0.717029	1	2	3	1430	0.00402492
0.717029	1	3	3	130	0.00402479
0.717029	1	4	3	130	0.00402465
0.718029	1	3	3	130	0.00402828
0.718029	1	4	3	130	0.00402815
0.719029	1	1	3	1430	0.0040261
0.719029	1	2	3	1430	0.00402492
0.719029	1	3	3	130	0.00402479
0.719029	1	4	3	130	0.00402465
0.720029	1	3	3	130	0.00402828
0.720029	1	4	3	130	0.00402815
0.721029	1	1	3	1430	0.0040261
0.721029	1	2	3	1430	0.00402492
0.721029	1	3	3	130	0.00402479
0.721029	1	4	3	130	0.00402465
0.722029	1	3	3	130	0.00402828
0.722029	1	4	3	130	0.00402815
0.723029	1	1	3	1430	0.0040261
0.723029	1	2	3	1430	0.00402492
0.723029	1	3	3	130	0.00402479
0.723029	1	4	3	130	0.00402465
0.724029	1	3	3	130	0.00402828
0.724029	1	4	3	130	0.00402815
0.725029	1	1	3	1430	0.0040261
0.725029	1	2	3	1430	0.00402492
0.725029	1	3	3	130	0.00402479
0.725029	1	4	3	130	0.00402465
0.726029	1	3	3	130	0.00402828
0.726029	1	4	3	130	0.00402815
0.727029	1	1	3	1430	0.0040261
0.727029	1	2	3	1430	0.00402492
0.727029	1	3	3	130	0.00402479
0.727029	1	4	3	130	0.00402465
0.728029	1	3	3	130	0.00402828
0.728029	1	4	3	130	0.00402815
0.729029	1	1	3	1430	0.0040261
0.729029	1	2	3	1430	0.00402492
0.729029	1	3	3	130	0.00402479
0.729029	1	4	3	130	0.00402465
0.730029	1	3	3	130	0.00402828
0.730029	1	4	3	130	0.00402815
0.731029	1	1	3	1430	0.0040261
0.731029	1	2	3	1430	0.00402492
0.731029	1	3	3	130	0.00402479
0.731029	1	4	3	130	0.00402465
0.732029	1	3	3	130	0.00402828
0.732029	1	4	3	130	0.00402815
0.733029	1	1	3	1430	0.0040261
0.733029	1	2	3	1430	0.00402492
0.733029	1	3	3	130	0.00402479
0.733029	1	4	3	130	0.00402465
0.734029	1	3	3	130	0.00402828
0.734029	1	4	3	130	0.00402815
0.735029	1	1	3	1430	0.0040261
0.735029	1	2	3	1430	0.00402492
0.735029	1	3	3	130	0.00402479
0.735029	1	4	3	130	0.00402465
0.736029	1	3	3	130	0.00402828
0.736029	1	4	3	130	0.00402815
0.737029	1	1	3	1430	0.0040261
0.737029	1	2	3	1430	0.00402492
0.737029	1	3	3	130	0.00402479
0.737029	1	4	3	130	0.00402465
0.738029	1	3	3	130	0.00402828
0.738029	1	4	3	130	0.00402815
0.738957	1	1	3	1430	0.00395467
0.738957	1	2	3	1430	0.00395349
0.738957	1	3	3	130	0.00395336
0.738957	1	4	3	130	0.00395322
0.740029	1	3	3	130	0.00402828
0.740029	1	4	3	130	0.00402815
