% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1184	1	5	5	0	28	1095	0	1	0
1184	1	6	3	0	28	1095	0	1	0
1185	1	5	5	0	28	1095	0	1	0
1185	1	6	3	0	28	1095	0	1	0
1186	1	6	3	0	28	2292	0	1	0
1188	1	6	3	0	28	2292	0	1	0
1189	1	6	3	0	28	2292	0	1	0
1190	1	6	3	0	28	2292	0	1	0
1191	1	4	4	0	28	749	0	1	0
1191	1	5	5	0	28	749	0	1	0
1191	1	6	3	0	28	749	0	1	0
1192	1	4	4	0	28	749	0	1	0
1192	1	5	5	0	28	749	0	1	0
1192	1	6	3	0	28	749	0	1	0
1193	1	4	4	0	28	749	0	1	0
1193	1	5	5	0	28	749	0	1	0
1193	1	6	3	0	28	749	0	1	0
1194	1	5	5	0	28	1095	0	1	0
1195	1	5	5	0	28	1095	0	1	0
1195	1	6	3	0	28	1095	0	1	0
1196	1	5	5	0	28	1095	0	1	0
1196	1	6	3	0	28	1095	0	1	0
1199	1	5	5	0	28	2292	0	1	0
1200	1	5	5	0	28	2292	0	1	0
1201	1	4	4	0	28	1095	0	1	0
1201	1	5	5	0	28	1095	0	1	0
1202	1	4	4	0	28	749	0	1	0
1202	1	5	5	0	28	749	0	1	0
1203	1	5	5	0	28	2292	0	1	0
1204	1	5	5	0	28	2292	0	1	0
1205	1	5	5	0	28	1095	0	1	0
1206	1	5	5	0	28	1095	0	1	0
1206	1	6	3	0	28	1095	0	1	0
1207	1	5	5	0	28	1095	0	1	0
1207	1	6	3	0	28	1095	0	1	0
1210	1	6	3	0	28	2292	0	1	0
1211	1	4	4	0	28	749	0	1	0
1211	1	5	5	0	28	749	0	1	0
1212	1	4	4	0	28	1095	0	1	0
1212	1	6	3	0	28	1095	0	1	0
1213	1	6	3	0	28	2292	0	1	0
1214	1	6	3	0	28	2292	0	1	0
1216	1	5	5	0	28	1095	0	1	0
1217	1	5	5	0	28	1095	0	1	0
1218	1	5	5	0	28	1095	0	1	0
1219	1	5	5	0	28	1095	0	1	0
1219	1	6	3	0	28	1095	0	1	0
1220	1	5	5	0	28	1095	0	1	0
1221	1	4	4	0	28	749	0	1	0
1221	1	5	5	0	28	749	0	1	0
1221	1	6	3	0	28	749	0	1	0
1222	1	4	4	0	28	1095	0	1	0
1222	1	5	5	0	28	1095	0	1	0
1223	1	5	5	0	28	1095	0	1	0
1223	1	6	3	0	28	1095	0	1	0
1224	1	5	5	0	28	1095	0	1	0
1224	1	6	3	0	28	1095	0	1	0
1225	1	5	5	0	28	1095	0	1	0
1225	1	6	3	0	28	1095	0	1	0
1226	1	5	5	0	28	1095	0	1	0
1226	1	6	3	0	28	1095	0	1	0
1227	1	5	5	0	28	1095	0	1	0
1228	1	5	5	0	28	1095	0	1	0
1229	1	5	5	0	28	1095	0	1	0
1230	1	5	5	0	28	1095	0	1	0
1230	1	6	3	0	28	1095	0	1	0
1231	1	4	4	0	28	749	0	1	0
1231	1	5	5	0	28	749	0	1	0
1231	1	6	3	0	28	749	0	1	0
1232	1	4	4	0	28	749	0	1	0
1232	1	5	5	0	28	749	0	1	0
1233	1	4	4	0	28	749	0	1	0
1233	1	5	5	0	28	749	0	1	0
1234	1	5	5	0	28	1095	0	1	0
1234	1	6	3	0	28	1095	0	1	0
1235	1	5	5	0	28	1095	0	1	0
1235	1	6	3	0	28	1095	0	1	0
1236	1	6	3	0	28	2292	0	1	0
1237	1	6	3	0	28	2292	0	1	0
1238	1	6	3	0	28	2292	0	1	0
1241	1	4	4	0	28	749	0	1	0
1241	1	5	5	0	28	749	0	1	0
1242	1	4	4	0	28	749	0	1	0
1242	1	6	3	0	28	749	0	1	0
1243	1	4	4	0	28	749	0	1	0
1243	1	5	5	0	28	749	0	1	0
1243	1	6	3	0	28	749	0	1	0
1244	1	5	5	0	28	2292	0	1	0
1245	1	5	5	0	28	2292	0	1	0
1246	1	5	5	0	28	2292	0	1	0
1247	1	5	5	0	28	1095	0	1	0
1249	1	5	5	0	28	1095	0	1	0
1249	1	6	3	0	28	1095	0	1	0
1250	1	5	5	0	28	1095	0	1	0
1251	1	4	4	0	28	749	0	1	0
1251	1	5	5	0	28	749	0	1	0
1252	1	4	4	0	28	749	0	1	0
1252	1	5	5	0	28	749	0	1	0
1253	1	4	4	0	28	749	0	1	0
1253	1	5	5	0	28	749	0	1	0
1254	1	6	3	0	28	2292	0	1	0
1256	1	5	5	0	28	1095	0	1	0
1258	1	6	3	0	28	2292	0	1	0
1260	1	6	3	0	28	2292	0	1	0
1261	1	4	4	0	28	749	0	1	0
1261	1	5	5	0	28	749	0	1	0
1262	1	4	4	0	28	749	0	1	0
1262	1	5	5	0	28	749	0	1	0
1263	1	4	4	0	28	749	0	1	0
1263	1	5	5	0	28	749	0	1	0
1263	1	6	3	0	28	749	0	1	0
1264	1	5	5	0	28	1095	0	1	0
1264	1	6	3	0	28	1095	0	1	0
1265	1	5	5	0	28	1095	0	1	0
1265	1	6	3	0	28	1095	0	1	0
1266	1	5	5	0	28	1095	0	1	0
1267	1	5	5	0	28	1095	0	1	0
1268	1	5	5	0	28	1095	0	1	0
1269	1	5	5	0	28	1095	0	1	0
1270	1	5	5	0	28	1095	0	1	0
1270	1	6	3	0	28	1095	0	1	0
1271	1	4	4	0	28	749	0	1	0
1271	1	5	5	0	28	749	0	1	0
1271	1	6	3	0	28	749	0	1	0
1272	1	4	4	0	28	749	0	1	0
1272	1	5	5	0	28	749	0	1	0
1272	1	6	3	0	28	749	0	1	0
1273	1	4	4	0	28	749	0	1	0
1273	1	5	5	0	28	749	0	1	0
1274	1	5	5	0	28	1095	0	1	0
1275	1	5	5	0	28	1095	0	1	0
1276	1	5	5	0	28	1095	0	1	0
1276	1	6	3	0	28	1095	0	1	0
1277	1	5	5	0	28	1095	0	1	0
1278	1	6	3	0	28	1095	0	1	0
1279	1	5	5	0	28	1095	0	1	0
1279	1	6	3	0	28	1095	0	1	0
1280	1	5	5	0	28	1095	0	1	0
1281	1	4	4	0	28	749	0	1	0
1281	1	5	5	0	28	749	0	1	0
1282	1	4	4	0	28	749	0	1	0
1282	1	5	5	0	28	749	0	1	0
1282	1	6	3	0	28	749	0	1	0
1283	1	4	4	0	28	749	0	1	0
1283	1	5	5	0	28	749	0	1	0
1283	1	6	3	0	28	749	0	1	0
1284	1	5	5	0	28	1095	0	1	0
1286	1	5	5	0	28	1095	0	1	0
1287	1	6	3	0	28	2292	0	1	0
1288	1	6	3	0	28	2292	0	1	0
1291	1	4	4	0	28	749	0	1	0
1291	1	5	5	0	28	749	0	1	0
1291	1	6	3	0	28	749	0	1	0
1292	1	4	4	0	28	749	0	1	0
1292	1	5	5	0	28	749	0	1	0
1292	1	6	3	0	28	749	0	1	0
1293	1	4	4	0	28	749	0	1	0
1293	1	5	5	0	28	749	0	1	0
1293	1	6	3	0	28	749	0	1	0
1294	1	6	3	0	28	1095	0	1	0
1295	1	5	5	0	28	1095	0	1	0
1296	1	5	5	0	28	1095	0	1	0
1297	1	5	5	0	28	1095	0	1	0
1297	1	6	3	0	28	1095	0	1	0
1298	1	5	5	0	28	1095	0	1	0
1298	1	6	3	0	28	1095	0	1	0
1299	1	5	5	0	28	1095	0	1	0
1300	1	5	5	0	28	1095	0	1	0
1301	1	4	4	0	28	749	0	1	0
1301	1	5	5	0	28	749	0	1	0
1302	1	4	4	0	28	749	0	1	0
1302	1	5	5	0	28	749	0	1	0
1303	1	4	4	0	28	749	0	1	0
1303	1	5	5	0	28	749	0	1	0
1303	1	6	3	0	28	749	0	1	0
1304	1	5	5	0	28	1095	0	1	0
1305	1	5	5	0	28	1095	0	1	0
1305	1	6	3	0	28	1095	0	1	0
1306	1	5	5	0	28	1095	0	1	0
1307	1	5	5	0	28	1095	0	1	0
1308	1	5	5	0	28	1095	0	1	0
1309	1	5	5	0	28	1095	0	1	0
1309	1	6	3	0	28	1095	0	1	0
1310	1	5	5	0	28	1095	0	1	0
1310	1	6	3	0	28	1095	0	1	0
1311	1	4	4	0	28	749	0	1	0
1311	1	5	5	0	28	749	0	1	0
1312	1	4	4	0	28	749	0	1	0
1312	1	5	5	0	28	749	0	1	0
1313	1	4	4	0	28	749	0	1	0
1313	1	5	5	0	28	749	0	1	0
1313	1	6	3	0	28	749	0	1	0
1314	1	5	5	0	28	1095	0	1	0
1315	1	6	3	0	28	2292	0	1	0
1317	1	6	3	0	28	2292	0	1	0
1318	1	6	3	0	28	2292	0	1	0
1319	1	6	3	0	28	2292	0	1	0
1320	1	6	3	0	28	2292	0	1	0
1321	1	4	4	0	28	749	0	1	0
1321	1	5	5	0	28	749	0	1	0
1321	1	6	3	0	28	749	0	1	0
1322	1	4	4	0	28	749	0	1	0
1322	1	5	5	0	28	749	0	1	0
1323	1	4	4	0	28	749	0	1	0
1323	1	5	5	0	28	749	0	1	0
1323	1	6	3	0	28	749	0	1	0
1324	1	5	5	0	28	1095	0	1	0
1325	1	5	5	0	28	1095	0	1	0
1326	1	5	5	0	28	1095	0	1	0
1327	1	6	3	0	28	1095	0	1	0
1328	1	5	5	0	28	2292	0	1	0
1329	1	5	5	0	28	2292	0	1	0
1331	1	4	4	0	28	749	0	1	0
1331	1	5	5	0	28	749	0	1	0
1331	1	6	3	0	28	749	0	1	0
1332	1	4	4	0	28	749	0	1	0
1333	1	4	4	0	28	749	0	1	0
1333	1	5	5	0	28	749	0	1	0
1333	1	6	3	0	28	749	0	1	0
1334	1	5	5	0	28	1095	0	1	0
1336	1	5	5	0	28	1095	0	1	0
1336	1	6	3	0	28	1095	0	1	0
1337	1	5	5	0	28	1095	0	1	0
1338	1	5	5	0	28	1095	0	1	0
1338	1	6	3	0	28	1095	0	1	0
1339	1	5	5	0	28	1095	0	1	0
1339	1	6	3	0	28	1095	0	1	0
1340	1	5	5	0	28	1095	0	1	0
1340	1	6	3	0	28	1095	0	1	0
1341	1	4	4	0	28	749	0	1	0
1341	1	5	5	0	28	749	0	1	0
1341	1	6	3	0	28	749	0	1	0
1342	1	4	4	0	28	749	0	1	0
1342	1	5	5	0	28	749	0	1	0
1343	1	4	4	0	28	749	0	1	0
1343	1	5	5	0	28	749	0	1	0
1343	1	6	3	0	28	749	0	1	0
1344	1	5	5	0	28	1095	0	1	0
1344	1	6	3	0	28	1095	0	1	0
1345	1	5	5	0	28	1095	0	1	0
1345	1	6	3	0	28	1095	0	1	0
1346	1	5	5	0	28	1095	0	1	0
1346	1	6	3	0	28	1095	0	1	0
1347	1	5	5	0	28	1095	0	1	0
1347	1	6	3	0	28	1095	0	1	0
1351	1	4	4	0	28	749	0	1	0
1351	1	5	5	0	28	749	0	1	0
1352	1	4	4	0	28	749	0	1	0
1352	1	5	5	0	28	749	0	1	0
1353	1	4	4	0	28	749	0	1	0
1353	1	5	5	0	28	749	0	1	0
1354	1	6	3	0	28	2292	0	1	0
1356	1	5	5	0	28	1095	0	1	0
1357	1	5	5	0	28	1095	0	1	0
1357	1	6	3	0	28	1095	0	1	0
1358	1	5	5	0	28	1095	0	1	0
1359	1	5	5	0	28	1095	0	1	0
1361	1	4	4	0	28	749	0	1	0
1361	1	5	5	0	28	749	0	1	0
1361	1	6	3	0	28	749	0	1	0
1362	1	4	4	0	28	749	0	1	0
1362	1	5	5	0	28	749	0	1	0
1363	1	4	4	0	28	749	0	1	0
1363	1	5	5	0	28	749	0	1	0
1363	1	6	3	0	28	749	0	1	0
1364	1	5	5	0	28	1095	0	1	0
1365	1	5	5	0	28	1095	0	1	0
1366	1	5	5	0	28	1095	0	1	0
1367	1	5	5	0	28	1095	0	1	0
1368	1	5	5	0	28	1095	0	1	0
1368	1	6	3	0	28	1095	0	1	0
1369	1	5	5	0	28	1095	0	1	0
1370	1	5	5	0	28	1095	0	1	0
1371	1	4	4	0	28	749	0	1	0
1371	1	5	5	0	28	749	0	1	0
1371	1	6	3	0	28	749	0	1	0
1372	1	4	4	0	28	749	0	1	0
1372	1	5	5	0	28	749	0	1	0
1373	1	4	4	0	28	749	0	1	0
1375	1	5	5	0	28	1095	0	1	0
1375	1	6	3	0	28	1095	0	1	0
1376	1	6	3	0	28	2292	0	1	0
1377	1	6	3	0	28	2292	0	1	0
1378	1	6	3	0	28	2292	0	1	0
1379	1	6	3	0	28	2292	0	1	0
1381	1	4	4	0	28	749	0	1	0
1381	1	5	5	0	28	749	0	1	0
1382	1	4	4	0	28	749	0	1	0
1382	1	5	5	0	28	749	0	1	0
1382	1	6	3	0	28	749	0	1	0
1383	1	4	4	0	28	749	0	1	0
1383	1	5	5	0	28	749	0	1	0
1383	1	6	3	0	28	749	0	1	0
1384	1	5	5	0	28	1095	0	1	0
1385	1	5	5	0	28	1095	0	1	0
1385	1	6	3	0	28	1095	0	1	0
1386	1	5	5	0	28	1095	0	1	0
1386	1	6	3	0	28	1095	0	1	0
1387	1	5	5	0	28	1095	0	1	0
1387	1	6	3	0	28	1095	0	1	0
1388	1	5	5	0	28	1095	0	1	0
1389	1	5	5	0	28	1095	0	1	0
1389	1	6	3	0	28	1095	0	1	0
1390	1	5	5	0	28	1095	0	1	0
1391	1	4	4	0	28	749	0	1	0
1392	1	4	4	0	28	749	0	1	0
1392	1	5	5	0	28	749	0	1	0
1393	1	4	4	0	28	749	0	1	0
1393	1	5	5	0	28	749	0	1	0
1393	1	6	3	0	28	749	0	1	0
1394	1	5	5	0	28	1095	0	1	0
1395	1	5	5	0	28	1095	0	1	0
1395	1	6	3	0	28	1095	0	1	0
1396	1	5	5	0	28	1095	0	1	0
1396	1	6	3	0	28	1095	0	1	0
1397	1	5	5	0	28	1095	0	1	0
1398	1	5	5	0	28	1095	0	1	0
1398	1	6	3	0	28	1095	0	1	0
1399	1	5	5	0	28	1095	0	1	0
1399	1	6	3	0	28	1095	0	1	0
1400	1	5	5	0	28	1095	0	1	0
1400	1	6	3	0	28	1095	0	1	0
1401	1	4	4	0	28	749	0	1	0
1401	1	5	5	0	28	749	0	1	0
1401	1	6	3	0	28	749	0	1	0
1402	1	4	4	0	28	749	0	1	0
1402	1	5	5	0	28	749	0	1	0
1402	1	6	3	0	28	749	0	1	0
1403	1	4	4	0	28	749	0	1	0
1403	1	5	5	0	28	749	0	1	0
1404	1	5	5	0	28	1095	0	1	0
1404	1	6	3	0	28	1095	0	1	0
1405	1	5	5	0	28	1095	0	1	0
1406	1	5	5	0	28	1095	0	1	0
1406	1	6	3	0	28	1095	0	1	0
1409	1	6	3	0	28	2292	0	1	0
1411	1	4	4	0	28	749	0	1	0
1411	1	5	5	0	28	749	0	1	0
1412	1	4	4	0	28	1095	0	1	0
1412	1	5	5	0	28	1095	0	1	0
1413	1	5	5	0	28	1095	0	1	0
1413	1	6	3	0	28	1095	0	1	0
1415	1	5	5	0	28	1095	0	1	0
1416	1	5	5	0	28	1095	0	1	0
1417	1	5	5	0	28	2292	0	1	0
1418	1	5	5	0	28	1095	0	1	0
1419	1	5	5	0	28	1095	0	1	0
1420	1	5	5	0	28	1095	0	1	0
1421	1	4	4	0	28	749	0	1	0
1421	1	6	3	0	28	749	0	1	0
1422	1	4	4	0	28	749	0	1	0
1422	1	5	5	0	28	749	0	1	0
1422	1	6	3	0	28	749	0	1	0
1423	1	4	4	0	28	749	0	1	0
1423	1	5	5	0	28	749	0	1	0
1423	1	6	3	0	28	749	0	1	0
1424	1	5	5	0	28	1095	0	1	0
1424	1	6	3	0	28	1095	0	1	0
1425	1	5	5	0	28	1095	0	1	0
1425	1	6	3	0	28	1095	0	1	0
1426	1	6	3	0	28	2292	0	1	0
1429	1	5	5	0	28	1095	0	1	0
1430	1	5	5	0	28	1095	0	1	0
1430	1	6	3	0	28	1095	0	1	0
1431	1	4	4	0	28	749	0	1	0
1431	1	5	5	0	28	749	0	1	0
1431	1	6	3	0	28	749	0	1	0
1432	1	4	4	0	28	749	0	1	0
1432	1	5	5	0	28	749	0	1	0
1432	1	6	3	0	28	749	0	1	0
1433	1	4	4	0	28	749	0	1	0
