Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.563929	DL	56	3	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.564929	DL	56	4	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.564929	DL	56	4	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.564929	DL	56	4	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.564929	DL	56	4	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.565929	DL	56	5	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.565929	DL	56	5	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.566929	DL	56	6	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.566929	DL	56	6	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.566929	DL	56	6	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.566929	DL	56	6	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.567929	DL	56	7	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.567929	DL	56	7	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.568929	DL	56	8	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.568929	DL	56	8	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.568929	DL	56	8	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.568929	DL	56	8	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.569929	DL	56	9	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.569929	DL	56	9	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.570929	DL	57	0	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.570929	DL	57	0	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.570929	DL	57	0	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.570929	DL	57	0	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.571929	DL	57	1	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.571929	DL	57	1	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.572929	DL	57	2	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.572929	DL	57	2	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.572929	DL	57	2	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.572929	DL	57	2	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.573929	DL	57	3	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.573929	DL	57	3	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.574929	DL	57	4	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.574929	DL	57	4	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.574929	DL	57	4	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.574929	DL	57	4	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.575929	DL	57	5	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.575929	DL	57	5	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.576929	DL	57	6	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.576929	DL	57	6	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.576929	DL	57	6	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.576929	DL	57	6	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.577929	DL	57	7	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.577929	DL	57	7	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.578857	DL	57	8	0	1	11	1	0	1	1471	22	1	0	15.8212	12	0	0
0.578857	DL	57	8	0	1	11	1	0	2	1499	28	1	0	26.3133	15	0	0
0.578857	DL	57	8	0	1	11	1	0	3	163	28	1	0	31.115	15	0	5.701e-14
0.578857	DL	57	8	0	1	11	1	0	4	163	28	1	0	25.0166	15	0	5.701e-14
0.579929	DL	57	9	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.579929	DL	57	9	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.580929	DL	58	0	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.580929	DL	58	0	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.580929	DL	58	0	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.580929	DL	58	0	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.581929	DL	58	1	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.581929	DL	58	1	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.582929	DL	58	2	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
