time(s)	cellId	rnti	lcid	packetSize
0.671004	1	3	3	130
0.671004	1	4	3	130
0.672	1	3	3	130
0.672	1	4	3	130
0.673002	1	1	3	1430
0.673004	1	2	3	1430
0.673004	1	3	3	130
0.673004	1	4	3	130
0.674	1	3	3	130
0.674	1	4	3	130
0.675002	1	1	3	1430
0.675004	1	2	3	1430
0.675004	1	3	3	130
0.675004	1	4	3	130
0.676	1	3	3	130
0.676	1	4	3	130
0.677002	1	1	3	1430
0.677004	1	2	3	1430
0.677004	1	3	3	130
0.677004	1	4	3	130
0.678	1	3	3	130
0.678	1	4	3	130
0.679002	1	1	3	1430
0.679004	1	2	3	1430
0.679004	1	3	3	130
0.679004	1	4	3	130
0.68	1	3	3	130
0.68	1	4	3	130
0.681002	1	1	3	1430
0.681004	1	2	3	1430
0.681004	1	3	3	130
0.681004	1	4	3	130
0.682	1	3	3	130
0.682	1	4	3	130
0.683002	1	1	3	1430
0.683004	1	2	3	1430
0.683004	1	3	3	130
0.683004	1	4	3	130
0.684	1	3	3	130
0.684	1	4	3	130
0.685002	1	1	3	1430
0.685004	1	2	3	1430
0.685004	1	3	3	130
0.685004	1	4	3	130
0.686	1	3	3	130
0.686	1	4	3	130
0.687002	1	1	3	1430
0.687004	1	2	3	1430
0.687004	1	3	3	130
0.687004	1	4	3	130
0.688	1	3	3	130
0.688	1	4	3	130
0.689002	1	1	3	1430
0.689004	1	2	3	1430
0.689004	1	3	3	130
0.689004	1	4	3	130
0.69	1	3	3	130
0.69	1	4	3	130
0.691002	1	1	3	1430
0.691004	1	2	3	1430
0.691004	1	3	3	130
0.691004	1	4	3	130
0.692	1	3	3	130
0.692	1	4	3	130
0.693002	1	1	3	1430
0.693004	1	2	3	1430
0.693004	1	3	3	130
0.693004	1	4	3	130
0.694	1	3	3	130
0.694	1	4	3	130
0.695002	1	1	3	1430
0.695004	1	2	3	1430
0.695004	1	3	3	130
0.695004	1	4	3	130
0.696	1	3	3	130
0.696	1	4	3	130
0.697002	1	1	3	1430
0.697004	1	2	3	1430
0.697004	1	3	3	130
0.697004	1	4	3	130
0.698	1	3	3	130
0.698	1	4	3	130
0.699002	1	1	3	1430
0.699004	1	2	3	1430
0.699004	1	3	3	130
0.699004	1	4	3	130
0.7	1	3	3	130
0.7	1	4	3	130
0.701	1	5	3	80
0.701	1	6	3	80
0.701003	1	1	3	1430
0.701004	1	2	3	1430
0.701004	1	3	3	130
0.701004	1	4	3	130
0.702	1	3	3	130
0.702	1	4	3	130
0.703002	1	1	3	1430
0.703004	1	2	3	1430
0.703004	1	3	3	130
0.703004	1	4	3	130
0.704	1	3	3	130
0.704	1	4	3	130
0.705002	1	1	3	1430
0.705004	1	2	3	1430
0.705004	1	3	3	130
0.705004	1	4	3	130
0.706	1	3	3	130
0.706	1	4	3	130
0.707002	1	1	3	1430
0.707004	1	2	3	1430
0.707004	1	3	3	130
0.707004	1	4	3	130
0.708	1	3	3	130
0.708	1	4	3	130
0.709002	1	1	3	1430
0.709004	1	2	3	1430
0.709004	1	3	3	130
0.709004	1	4	3	130
0.71	1	3	3	130
0.71	1	4	3	130
0.711002	1	1	3	1430
0.711004	1	2	3	1430
0.711004	1	3	3	130
0.711004	1	4	3	130
0.712	1	3	3	130
0.712	1	4	3	130
0.713002	1	1	3	1430
0.713004	1	2	3	1430
0.713004	1	3	3	130
0.713004	1	4	3	130
0.714	1	3	3	130
0.714	1	4	3	130
0.715002	1	1	3	1430
0.715004	1	2	3	1430
0.715004	1	3	3	130
0.715004	1	4	3	130
0.716	1	3	3	130
0.716	1	4	3	130
0.717002	1	1	3	1430
0.717004	1	2	3	1430
0.717004	1	3	3	130
